Select,XPath,Examples
,/rdf:RDF/bf:Work/bf:adminMetadata/bf:AdminMetadata/bf:generationProcess/bf:GenerationProcess/rdfs:label,DLC marc2bibframe2 v2.5.0
,/rdf:RDF/bf:Work/bf:adminMetadata/bf:AdminMetadata/bf:generationProcess/bf:GenerationProcess/bf:generationDate,"2024-02-08T19:53:12.931436-05:00
2024-02-08T19:53:12.983828-05:00
2024-02-08T19:53:13.013825-05:00"
,/rdf:RDF/bf:Work/bf:adminMetadata/bf:AdminMetadata/bf:status/bf:Status/rdfs:label,changed
,/rdf:RDF/bf:Work/bf:adminMetadata/bf:AdminMetadata/bflc:encodingLevel/bflc:EncodingLevel/rdfs:label,full
,/rdf:RDF/bf:Work/bf:adminMetadata/bf:AdminMetadata/bf:descriptionConventions/bf:DescriptionConventions/bf:code,"isbd
aacr"
,/rdf:RDF/bf:Work/bf:adminMetadata/bf:AdminMetadata/bf:identifiedBy/bf:Local/rdf:value,"83151
722033
218197"
,/rdf:RDF/bf:Work/bf:adminMetadata/bf:AdminMetadata/bf:identifiedBy/bf:Local/bf:assigner/bf:Agent/bf:code,DLC
,/rdf:RDF/bf:Work/bf:adminMetadata/bf:AdminMetadata/bf:identifiedBy/bf:Local/bf:source/bf:Source/rdfs:label,Library and Archives Canada
,/rdf:RDF/bf:Work/bf:adminMetadata/bf:AdminMetadata/bf:identifiedBy/bf:Local/bf:source/bf:Source/bf:code,"DE-101
JP-ToKJK
Uk"
,/rdf:RDF/bf:Work/bf:adminMetadata/bf:AdminMetadata/bf:identifiedBy/bf:Local/bf:status/bf:Status/rdfs:label,invalid
,/rdf:RDF/bf:Work/bf:adminMetadata/bf:AdminMetadata/bf:changeDate,"2022-12-16T17:30:27
2015-07-07T18:26:25
2022-12-08T12:41:03"
,/rdf:RDF/bf:Work/bf:adminMetadata/bf:AdminMetadata/bf:creationDate,"1980-12-22
1988-08-15
1982-01-12"
,/rdf:RDF/bf:Work/bf:adminMetadata/bf:AdminMetadata/bf:note/bf:Note/rdf:type,http://id.loc.gov/vocabulary/mnotetype/metaentry
,/rdf:RDF/bf:Work/bf:adminMetadata/bf:AdminMetadata/bf:note/bf:Note/rdfs:label,0 - successive
,/rdf:RDF/bf:Work/bf:adminMetadata/bf:AdminMetadata/bf:assigner/bf:Agent/bf:code,"HLS
NBiSU
CtY"
,/rdf:RDF/bf:Work/bf:adminMetadata/bf:AdminMetadata/bf:descriptionModifier/bf:Agent/bf:code,"WAU
CtY
CtY-M"
,/rdf:RDF/bf:Work/bf:adminMetadata/bf:AdminMetadata/bf:descriptionAuthentication/bf:DescriptionAuthentication/bf:code,"lc
nsdp"
