Select,XPath,Examples
T,/rdf:RDF/madsrdf:Authority/rdf:type,"http://www.loc.gov/mads/rdf/v1#PersonalName
http://www.loc.gov/mads/rdf/v1#Title"
T,/rdf:RDF/madsrdf:Authority/madsrdf:authoritativeLabel,"Shields, Joyce D.
Pop and play (Kingfisher Publications)
Risse, Stefanie (Lawyer)"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasSource/madsrdf:Source/madsrdf:citationNote,"CIP t.p. (Joyce D. Shields, R.N., M.S., C.S.)
                                            galley (private practice in psychiatr. resource
                                            consultation & psychother., Belmont, MA; dir. of
                                            R&D at Wild Acre Inns Community Residence Programs,
                                            Boston)
front cover (Pop and play)
t.p. (Rechtsanwältin Stefanie Risse, M.D.C.,
                                            Münster)"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasSource/madsrdf:Source/madsrdf:citationSource,"Peer consultation in a group context,
                                            c1985:
Abbott, Simon. Zoo animals, c2013 :
Das neue Reiserecht 2018, 2018:"
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Person/rdf:type,"http://www.loc.gov/mads/rdf/v1#RWO
http://xmlns.com/foaf/0.1/Person"
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Person/madsrdf:occupation/madsrdf:Occupation/rdfs:label,"Songwriter
Gŭdulka player
College president"
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Person/madsrdf:associatedLocale/madsrdf:Geographic/rdfs:label,"Jamaica
United States
Havelock, N.Z."
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Person/madsrdf:birthDate/skos:Concept/rdfs:label,"19410424
1931
19750416"
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Person/madsrdf:birthPlace/madsrdf:Geographic/rdfs:label,"Lucea, Jamaica
Saint John, N.B.
Peru"
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Person/madsrdf:fieldOfActivity/skos:Concept/rdfs:label,"(mesh) Counseling
History
(fast) Art"
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Person/madsrdf:hasAffiliation/madsrdf:Affiliation/madsrdf:organization/madsrdf:Organization/rdfs:label,"State University of New York at Oswego
Abundant Sun
Universidad Autónoma de Aguascalientes. Centro
                                            de las Artes y la Cultura"
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Person/madsrdf:hasAffiliation/madsrdf:Affiliation/madsrdf:hasAffiliationAddress/madsrdf:Address/madsrdf:city,"Depok
London
Lyon"
