Cluster,Identifier,Name,Identity,Other Match,Note,Title,Record,LC ID
9,9b2ca401-d72e-40b3-b992-7a289333bbc8,"Schubert, Franz.",,,,"Gidon Kremer: Finding Your Own Voice : Portrait of a world-class violinist, from Paris to Riga and Moscow.",16044322,http://id.loc.gov/authorities/names/n50000561
9,9b2ca401-d72e-40b3-b992-7a289333bbc8,"Schubert, Franz.",,,,"""Je Sais Pas Vous"" : 26 three-minute sketches about the classics.",16044224,http://id.loc.gov/authorities/names/n50000561
9,fa4757c0-8141-4a49-a71e-0b33952e9082,"Schubert, Franz.",1,http://id.loc.gov/authorities/names/no2010060842,Artist,Die Kunst der Photographie : eine Anleitung zur Erzeugung photographischer Bilder /,1605973,http://id.loc.gov/authorities/names/no2010060842
9,fa4757c0-8141-4a49-a71e-0b33952e9082,"Schubert, Franz.",1,http://id.loc.gov/authorities/names/no2010060842,,"Die Kunst der Photographie : eine Anleitung zur Erzeugung photographischer Bilder in jeder beliebigen Farbe und auf jedem beliebigen Material, für Anfänger und Geübtere, sowie für Graveure, Holzschneider etc. /",14704123,http://id.loc.gov/authorities/names/no2010060842
9,9b2ca401-d72e-40b3-b992-7a289333bbc8,"Schubert, Franz.",,,,Valery Gergiev conducts Mendelssohn and Schubert -- With Janine Jansen : Münchner Philharmoniker.,16044091,http://id.loc.gov/authorities/names/n50000561
9,9b2ca401-d72e-40b3-b992-7a289333bbc8,"Schubert, Franz.",,,,"Duncan Ward conducts Stravinsky, Schubert et Beethoven : The Orchestre de Paris at the Aix-en-Provence Festival.",16044360,http://id.loc.gov/authorities/names/n50000561
9,90ca532a-545a-4006-8f48-306e7489a83b,"Schubert, Franz.",2,,Merchant,Trauregister aus den ältesten Kirchenbüchern Schleswig-Holsteins. Von 1705 bis 1750 /,4822858,http://id.loc.gov/authorities/names/n86107150
9,9b2ca401-d72e-40b3-b992-7a289333bbc8,"Schubert, Franz.",,,,"Claudio Abbado Memorial Concert: Schubert, Berg, and Mahler-- With Andris Nelsons and Isabelle Faust : Lucerne Festival.",16044379,http://id.loc.gov/authorities/names/n50000561
9,014c9aa1-e150-4f11-9a3f-0c3740af33a0,"Schubert, Franz.",3,,Theologian,Liturgische Zeitschrift.,9805380,http://id.loc.gov/authorities/names/no2011156122
9,fa4757c0-8141-4a49-a71e-0b33952e9082,"Schubert, Franz.",1,http://id.loc.gov/authorities/names/no2010060842,,"The art of photography [electronic resource] : instructions in the art of producing photographic pictures in any color, and on any material : for the use of beginners : and also of persons who have already attained some proficiency in the art : and of engravers on copper, stone, wood, etc. /",14703468,http://id.loc.gov/authorities/names/no2010060842
9,fa4757c0-8141-4a49-a71e-0b33952e9082,"Schubert, Franz.",1,http://id.loc.gov/authorities/names/no2010060842,,Die Kunst der Photographie [microform] : eine Anleitung zur Erzeugung photographischer Bilder /,1484712,http://id.loc.gov/authorities/names/no2010060842
9,9b2ca401-d72e-40b3-b992-7a289333bbc8,"Schubert, Franz.",,,,Voice over /,13838305,http://id.loc.gov/authorities/names/n50000561
