Bib,Catalog,Normalized,Name,Different?,IRI,LC ID
615210,https://search.library.yale.edu/catalog/615210,ford william,"Ford, William.",T,http://id.loc.gov/authorities/names/n2006006349,http://id.loc.gov/authorities/names/n2006006349
615210,https://search.library.yale.edu/catalog/615210,ford william,"Ford, William.",T,http://id.loc.gov/authorities/names/n2006006349,http://id.loc.gov/authorities/names/n2006006349
615258,https://search.library.yale.edu/catalog/615258,hollingsworth thomas henry,"Hollingsworth, Thomas Henry,",F,http://id.loc.gov/authorities/names/no2002086684,http://id.loc.gov/authorities/names/no2002086684
615405,https://search.library.yale.edu/catalog/615405,saffery a lynn ambrose lynn,"Saffery, A. Lynn (Ambrose Lynn)",F,http://id.loc.gov/authorities/names/no2006086209,http://id.loc.gov/authorities/names/no2006086209
615405,https://search.library.yale.edu/catalog/615405,saffery a lynn ambrose lynn,"Saffery, A. Lynn (Ambrose Lynn)",F,http://id.loc.gov/authorities/names/no2006086209,http://id.loc.gov/authorities/names/no2006086209
615427,https://search.library.yale.edu/catalog/615427,cassell christian abayomi,"Cassell, Christian Abayomi,",F,http://id.loc.gov/authorities/names/no2005003150,http://id.loc.gov/authorities/names/no2005003150
615427,https://search.library.yale.edu/catalog/615427,cassell christian abayomi,"Cassell, Christian Abayomi,",F,http://id.loc.gov/authorities/names/no2005003150,http://id.loc.gov/authorities/names/no2005003150
615579,https://search.library.yale.edu/catalog/615579,tulane victor h,"Tulane, Victor H.",F,http://id.loc.gov/authorities/names/n96050696,http://id.loc.gov/authorities/names/n96050696
615824,https://search.library.yale.edu/catalog/615824,markham violet r violet rosa,"Markham, Violet R. (Violet Rosa)",F,http://id.loc.gov/authorities/names/n86855167,http://id.loc.gov/authorities/names/n86855167
615968,https://search.library.yale.edu/catalog/615968,taylor john r m john rodgers meigs,"Taylor, John R. M. (John Rodgers Meigs)",F,http://id.loc.gov/authorities/names/n85388756,http://id.loc.gov/authorities/names/n85388756
615991,https://search.library.yale.edu/catalog/615991,kulumba ali sheikh,"Kulumba, Ali, Sheikh.",F,http://id.loc.gov/authorities/names/no2001055643,http://id.loc.gov/authorities/names/no2001055643
616000,https://search.library.yale.edu/catalog/616000,ramsay j g james graham,"Ramsay, J. G. (James Graham)",F,http://id.loc.gov/authorities/names/n89658881,http://id.loc.gov/authorities/names/n89658881
616640,https://search.library.yale.edu/catalog/616640,danquah j b joseph boakye,"Danquah, J. B. (Joseph Boakye)",F,http://id.loc.gov/authorities/names/n84042679,http://id.loc.gov/authorities/names/n84042679
616658,https://search.library.yale.edu/catalog/616658,barrington thomas sir,"Barrington, Thomas, Sir.",F,http://id.loc.gov/authorities/names/n85057337,http://id.loc.gov/authorities/names/n85057337
752831,https://search.library.yale.edu/catalog/752831,lipski j jozef,"Lipski, J. (Józef)",F,http://id.loc.gov/authorities/names/n2009031649,http://id.loc.gov/authorities/names/n2009031649
1083419,https://search.library.yale.edu/catalog/1083419,simons h j harold jack,"Simons, H. J. (Harold Jack)",F,http://id.loc.gov/authorities/names/n50026261,http://id.loc.gov/authorities/names/n50026261
1083419,https://search.library.yale.edu/catalog/1083419,simons r e ray esther,"Simons, R. E. (Ray Esther)",F,http://id.loc.gov/authorities/names/n86803796,http://id.loc.gov/authorities/names/n86803796
1129331,https://search.library.yale.edu/catalog/1129331,spencer william clergyman,"Spencer, William, clergyman.",F,http://id.loc.gov/authorities/names/n96030435,http://id.loc.gov/authorities/names/n96030435
2973590,https://search.library.yale.edu/catalog/2973590,craft james of burlington nj,"Craft, James, of Burlington, N.J.",F,http://id.loc.gov/authorities/names/nr92016753,http://id.loc.gov/authorities/names/nr92016753
3107009,https://search.library.yale.edu/catalog/3107009,schaeffer l m luther melanchthon,"Schaeffer, L. M. (Luther Melanchthon)",F,http://id.loc.gov/authorities/names/nr00032870,http://id.loc.gov/authorities/names/nr00032870
3117106,https://search.library.yale.edu/catalog/3117106,owen g w george w,"Owen, G. W. (George W.)",F,http://id.loc.gov/authorities/names/no95037101,http://id.loc.gov/authorities/names/no95037101
3117914,https://search.library.yale.edu/catalog/3117914,jacobs saml samuel,"Jacobs, Sam'l (Samuel)",M,http://id.loc.gov/authorities/names/no96057905,http://id.loc.gov/authorities/names/no96057905
3122305,https://search.library.yale.edu/catalog/3122305,johnson j a john a,"Johnson, J. A. (John A.)",T,http://id.loc.gov/authorities/names/n96065571,http://id.loc.gov/authorities/names/n96065571
3133079,https://search.library.yale.edu/catalog/3133079,mcgillycuddy julia b julia blanchard,"McGillycuddy, Julia B. (Julia Blanchard)",T,http://id.loc.gov/authorities/names/n89670543,http://id.loc.gov/authorities/names/n89670543
